,Airline,Source,Destination,Route,Additional_Info,Duration,Total_Stops,Journey_day,Journey_month,Dep_hour,Dep_min,Arrival_hour,Arrival_min,Price
0,3,0,5,18,4,170,0,24,3,22,20,1,10,3897
1,1,3,0,84,4,445,2,1,5,5,50,13,15,7662
2,4,2,1,118,4,1140,2,9,6,9,25,4,25,13882
3,3,3,0,91,4,325,1,12,5,18,5,23,30,6218
4,3,0,5,29,4,285,1,1,3,16,50,21,35,13302
5,7,3,0,64,4,145,0,24,6,9,0,11,25,3873
6,4,0,5,5,1,930,1,12,3,18,55,10,25,11087
7,4,0,5,5,4,1265,1,1,3,8,0,5,5,22270
8,4,0,5,5,1,1530,1,12,3,8,55,10,25,11087
9,5,2,1,104,4,470,1,27,5,11,25,19,15,8625
10,1,2,1,103,4,795,1,1,6,9,45,23,0,8907
11,3,3,0,64,4,155,0,18,4,20,20,22,55,4174
12,1,1,4,127,4,135,0,24,6,11,40,13,55,4667
13,4,3,0,66,1,730,1,9,5,21,10,9,20,9663
14,3,3,0,64,4,155,0,24,4,17,15,19,50,4804
15,1,2,1,97,4,1595,2,3,3,16,40,19,15,14011
16,7,2,1,123,4,270,1,15,4,8,45,13,15,5830
17,4,2,1,104,1,1355,1,12,6,14,0,12,35,10262
18,1,2,1,105,4,1380,2,12,6,20,15,19,15,13381
19,4,2,1,104,1,1235,1,27,5,16,0,12,35,12898
20,2,2,1,104,4,310,1,6,3,14,10,19,20,19495
21,1,0,5,17,4,920,1,21,3,22,0,13,20,6955
22,3,0,2,18,4,170,0,3,4,4,0,6,50,3943
23,3,0,2,18,4,175,0,1,5,18,55,21,50,4823
24,4,3,0,66,1,800,1,6,5,18,55,8,15,7757
25,4,2,1,113,4,910,2,9,6,21,25,12,35,13292
26,3,2,1,119,4,345,1,1,6,21,50,3,35,8238
27,2,2,1,104,4,355,1,15,5,7,0,12,55,7682
28,8,0,2,18,4,170,0,18,6,9,45,12,35,4668
29,8,1,4,127,4,135,0,15,6,7,5,9,20,3687
30,8,1,4,127,4,135,0,18,6,7,5,9,20,3687
31,1,3,0,78,4,805,2,1,5,9,50,23,15,13227
32,3,0,2,18,4,170,0,6,4,4,0,6,50,4423
33,4,2,1,122,1,1320,2,15,6,14,35,12,35,10919
34,4,2,1,104,1,330,1,18,5,7,5,12,35,12373
35,3,2,1,104,4,625,1,27,6,10,35,21,0,5894
36,7,3,0,90,4,315,1,21,5,15,5,20,20,4649
37,1,3,0,64,4,150,0,18,5,14,15,16,45,6245
38,4,0,5,5,4,375,1,6,3,7,0,13,15,19225
39,4,2,1,104,4,715,1,3,6,7,5,19,0,14924
40,5,2,1,111,4,665,1,21,5,7,5,18,10,9646
41,1,0,5,5,4,510,1,15,3,6,45,15,15,8714
42,4,2,1,104,1,1325,1,18,5,20,55,19,0,12373
43,0,0,2,18,4,165,0,6,5,11,10,13,55,3383
44,5,2,1,104,4,720,1,21,3,9,0,21,0,13062
45,7,0,5,18,3,170,0,24,3,5,45,8,35,3527
46,3,0,2,18,4,170,0,27,5,4,0,6,50,3943
47,1,1,4,127,4,135,0,3,5,11,40,13,55,4667
48,1,3,0,80,4,965,1,15,5,19,0,11,5,6117
49,4,2,1,97,1,1195,2,27,6,23,5,19,0,11150
50,4,2,1,106,1,195,0,9,3,11,0,14,15,7202
51,4,3,0,73,4,1520,1,1,5,9,35,10,55,12121
52,3,0,5,18,4,170,0,24,3,22,20,1,10,4377
53,3,0,2,18,4,180,0,18,6,21,15,0,15,3943
54,0,0,2,18,4,170,0,3,4,23,55,2,45,4483
55,4,3,0,66,4,975,1,24,3,19,45,12,0,14231
56,1,0,5,3,4,905,2,1,3,8,50,23,55,17345
57,8,1,4,127,4,135,0,6,3,7,5,9,20,7414
58,5,2,1,104,4,390,1,6,5,19,0,1,30,8073
59,8,4,3,45,4,1505,1,6,3,15,40,16,45,12395
60,1,3,0,66,4,745,1,6,6,9,25,21,50,8366
61,1,2,1,121,4,1640,1,3,4,6,5,9,25,5117
62,5,2,1,104,4,615,1,3,6,8,45,19,0,12524
63,3,2,1,104,4,630,1,15,5,15,0,1,30,7191
64,8,1,4,127,4,135,0,24,5,7,5,9,20,3687
65,3,2,1,104,4,625,1,24,6,10,35,21,0,5894
66,8,0,2,18,4,170,0,24,4,9,45,12,35,5403
67,1,4,3,48,4,90,0,6,5,13,55,15,25,3625
68,1,2,1,102,4,800,2,21,5,5,55,19,15,10861
69,3,1,4,127,4,135,0,12,3,13,20,15,35,6297
70,4,4,3,48,4,85,0,1,6,7,5,8,30,5678
71,4,0,5,5,1,1590,1,9,3,5,45,8,15,9134
72,5,2,1,104,1,440,1,24,6,11,40,19,0,10791
73,4,2,1,97,4,810,2,24,6,23,5,12,35,12819
74,3,2,1,103,4,300,1,21,3,5,5,10,5,6893
75,8,0,5,18,4,165,0,9,3,9,50,12,35,7240
76,2,0,2,18,4,170,0,3,4,11,40,14,30,3898
77,3,4,3,48,4,90,0,3,4,6,25,7,55,4049
78,4,2,1,104,1,1145,1,15,6,17,30,12,35,10262
79,7,1,4,127,3,135,0,21,3,8,20,10,35,3332
80,4,3,0,66,1,890,1,9,6,21,10,12,0,10844
81,4,0,5,18,4,160,0,24,3,19,55,22,35,7229
82,4,3,0,66,4,1330,1,6,5,6,30,4,40,13941
83,3,2,1,104,4,575,1,27,6,11,25,21,0,5894
84,5,2,1,104,4,600,1,18,5,9,0,19,0,10197
85,4,0,5,5,1,1280,1,6,3,14,5,11,25,13712
86,3,2,1,121,4,325,1,24,6,2,0,7,25,5636
87,4,2,1,116,4,1125,2,6,6,9,40,4,25,13014
88,4,3,0,66,1,740,1,1,4,8,25,20,45,7064
89,4,3,0,73,1,1080,1,24,5,20,25,14,25,10703
90,5,2,1,111,4,555,1,27,5,13,15,22,30,9646
91,5,2,1,104,4,665,1,6,3,2,15,13,20,17057
92,4,0,5,5,4,1050,1,12,3,16,55,10,25,13817
93,1,2,1,102,4,800,2,6,3,5,55,19,15,13748
94,1,3,0,64,4,155,0,21,4,20,45,23,20,4880
95,3,1,4,127,4,145,0,21,6,5,15,7,40,3540
96,7,0,2,18,3,160,0,15,5,5,55,8,35,3257
97,4,0,2,18,1,180,0,3,6,19,50,22,50,6478
98,4,4,3,48,4,85,0,18,6,7,5,8,30,8040
99,4,2,1,99,4,995,2,12,6,20,0,12,35,14300
100,4,3,0,66,4,740,1,15,5,8,25,20,45,14781
101,4,3,0,66,4,735,1,9,6,20,0,8,15,14939
102,4,2,1,104,1,450,1,24,6,20,55,4,25,10262
103,1,3,0,90,4,1440,1,12,5,14,35,14,35,6528
104,1,0,2,18,4,165,0,1,5,6,10,8,55,6121
105,4,2,1,116,1,535,2,18,5,19,30,4,25,13029
106,5,2,1,104,4,430,1,27,3,11,40,18,50,11421
107,5,2,1,104,4,870,1,27,3,4,45,19,15,7574
108,1,2,1,117,4,1820,2,9,5,12,55,19,15,11596
109,4,2,1,97,4,1195,2,24,5,23,5,19,0,15129
110,4,0,5,5,4,900,1,18,3,14,5,5,5,13555
111,3,0,2,18,4,175,0,12,4,18,55,21,50,5780
112,8,3,0,73,4,765,1,12,5,20,20,9,5,9397
113,4,2,1,104,4,610,1,6,3,18,15,4,25,17024
114,2,2,1,104,4,355,1,27,6,7,0,12,55,5281
115,5,2,1,111,4,925,1,18,5,7,5,22,30,10348
116,1,2,1,121,4,965,1,6,3,17,20,9,25,12677
117,5,2,1,104,4,610,1,3,3,15,25,1,35,15147
118,8,0,2,18,4,160,0,12,6,7,0,9,40,4668
119,4,2,1,104,4,715,1,9,5,7,5,19,0,15554
120,7,0,2,18,4,160,0,9,4,5,55,8,35,3971
121,1,4,3,48,4,85,0,3,5,15,0,16,25,3100
122,4,3,0,66,1,845,1,6,5,20,0,10,5,9663
123,1,2,1,104,4,1215,1,1,3,23,0,19,15,27430
124,3,1,4,127,4,145,0,12,5,5,15,7,40,3540
125,1,3,0,61,4,1390,2,21,5,12,0,11,10,10676
126,4,3,0,66,4,1090,1,12,6,14,5,8,15,13044
127,4,3,0,66,4,960,1,6,5,20,0,12,0,14388
128,3,0,2,18,4,170,0,24,6,4,0,6,50,3943
129,3,1,4,127,4,140,0,3,6,14,45,17,5,3597
130,1,0,5,28,4,480,1,21,3,11,50,19,50,5932
131,4,2,1,104,1,1015,1,15,6,11,30,4,25,10262
132,8,2,1,106,4,190,0,12,5,14,40,17,50,6216
133,3,3,0,64,4,165,0,15,6,20,25,23,10,4804
134,5,2,1,104,4,840,1,21,5,11,30,1,30,14067
135,4,2,1,97,4,1430,2,18,5,19,10,19,0,15129
136,4,2,1,122,4,1300,2,6,6,6,45,4,25,13376
137,1,2,1,108,4,1275,2,27,6,22,0,19,15,10441
138,4,0,2,18,1,165,0,24,5,6,0,8,45,4030
139,4,2,1,104,4,650,1,3,3,8,0,18,50,17024
140,5,2,1,104,4,480,1,9,4,17,30,1,30,13017
141,2,3,0,66,4,495,1,6,6,23,30,7,45,6686
142,3,2,1,121,4,325,1,15,6,2,0,7,25,5636
143,3,2,1,111,4,515,1,9,6,7,35,16,10,6442
144,5,2,1,111,4,710,1,21,5,13,5,0,55,9486
145,4,3,0,66,1,1655,1,21,5,20,0,23,35,10844
146,4,2,1,99,1,505,2,3,6,20,0,4,25,15318
147,1,2,1,121,4,1255,1,3,4,12,30,9,25,5117
148,3,2,1,103,4,290,1,24,6,15,10,20,0,6147
149,5,2,1,104,4,490,1,9,6,12,50,21,0,7005
150,7,3,0,64,4,140,0,3,4,22,20,0,40,3873
151,4,2,1,101,1,1465,2,21,3,18,25,18,50,9270
152,2,0,2,18,4,170,0,27,6,11,40,14,30,3898
153,4,3,0,66,4,740,1,12,5,8,25,20,45,14781
154,4,3,0,66,1,735,1,24,5,20,0,8,15,8586
155,1,3,0,87,4,1415,2,9,5,8,20,7,55,10697
156,4,2,1,99,4,995,2,27,6,20,0,12,35,14300
157,3,0,5,18,4,170,0,3,3,18,55,21,45,8855
158,4,3,0,66,1,1545,1,12,5,16,30,18,15,10844
159,4,2,1,104,4,1570,1,6,3,2,15,4,25,17024
160,4,3,0,73,1,1730,1,1,5,9,35,14,25,9314
161,3,0,5,18,4,165,0,24,3,0,40,3,25,4777
162,1,3,0,60,4,1515,1,9,6,12,0,13,15,7662
163,3,2,1,111,4,560,1,9,5,6,50,16,10,6442
164,7,2,1,123,4,270,1,12,6,8,45,13,15,5264
165,4,2,1,104,1,925,1,27,5,13,0,4,25,12898
166,1,4,3,48,4,90,0,3,3,13,55,15,25,6092
167,7,0,2,18,4,160,0,21,5,5,55,8,35,3311
168,4,2,1,104,1,550,1,27,3,19,15,4,25,6540
169,3,0,2,18,4,165,0,27,5,1,30,4,15,3419
170,4,2,1,104,1,1355,1,3,4,14,0,12,35,5177
171,1,2,1,106,4,185,0,18,4,18,5,21,10,8246
172,4,3,0,73,4,690,1,9,6,9,35,21,5,14676
173,5,2,1,104,4,570,1,27,6,11,30,21,0,13587
174,4,3,0,66,1,730,1,6,5,21,10,9,20,9663
175,4,3,0,66,4,1055,1,12,6,16,30,10,5,13044
176,3,2,1,104,4,305,1,3,4,20,25,1,30,5073
177,8,3,0,73,4,1550,1,21,5,17,0,18,50,9345
178,4,3,0,66,1,1200,1,6,5,14,5,10,5,9663
179,5,2,1,104,4,780,1,21,5,8,0,21,0,14277
180,4,2,1,104,1,1105,1,1,6,10,0,4,25,10262
181,4,4,3,48,4,90,0,27,3,19,35,21,5,5678
182,5,2,1,104,4,570,1,15,5,16,0,1,30,13727
183,4,3,0,66,1,960,1,6,5,20,0,12,0,9663
184,3,1,4,127,4,140,0,12,5,14,45,17,5,3858
185,7,2,1,123,4,270,1,24,6,8,45,13,15,4812
186,3,2,1,119,4,345,1,27,6,21,50,3,35,5775
187,4,3,0,73,1,1450,1,6,6,9,35,9,45,10539
188,3,3,0,64,4,155,0,3,6,15,30,18,5,4804
189,0,0,2,18,4,165,0,12,6,11,10,13,55,3383
190,3,0,5,24,4,295,1,3,3,12,10,17,5,8738
191,1,2,1,125,4,1535,1,27,3,5,15,6,50,7165
192,3,2,1,111,4,380,1,24,6,16,10,22,30,6412
193,4,0,2,18,4,185,0,27,6,18,55,22,0,8016
194,4,0,5,5,1,1120,1,12,3,20,35,15,15,11087
195,7,1,4,127,3,135,0,27,6,9,45,12,0,3543
196,4,3,0,66,4,730,1,12,6,16,30,4,40,12471
197,4,2,1,104,1,1165,1,24,6,9,0,4,25,10262
198,1,0,5,18,4,170,0,18,3,13,20,16,10,4441
199,5,2,1,104,4,505,1,27,3,7,5,15,30,12537
200,2,3,0,66,4,555,1,24,3,22,25,7,40,10091
201,1,0,2,18,4,170,0,3,6,21,5,23,55,6961
202,3,2,1,106,4,195,0,24,4,5,35,8,50,5013
203,1,2,1,106,4,170,0,18,5,5,10,8,0,6934
204,5,2,1,104,4,740,1,3,6,6,40,19,0,10877
205,4,0,2,18,4,175,0,18,4,15,15,18,10,7229
206,3,2,1,104,4,575,1,27,3,16,0,1,35,7048
207,8,0,2,18,4,155,0,27,6,17,0,19,35,4878
208,4,3,0,66,1,570,1,21,5,14,5,23,35,10844
209,4,2,1,97,4,1760,2,18,5,23,5,4,25,15129
210,3,0,2,18,4,175,0,12,5,0,30,3,25,3943
211,7,2,1,121,4,315,1,6,6,6,5,11,20,5583
212,5,2,1,111,4,545,1,6,6,7,5,16,10,9646
213,5,2,1,104,4,645,1,3,6,8,30,19,15,7677
214,3,2,1,103,4,295,1,1,6,5,10,10,5,6842
215,4,4,3,48,1,90,0,24,6,8,45,10,15,4995
216,8,3,0,73,4,700,1,9,6,7,10,18,50,9555
217,3,0,2,18,4,165,0,1,6,1,30,4,15,4077
218,4,0,2,18,4,175,0,12,5,15,15,18,10,7229
219,5,2,1,104,4,600,1,9,6,9,0,19,0,12192
220,1,0,2,18,4,165,0,12,4,10,0,12,45,5911
221,1,2,1,104,4,615,1,12,6,9,0,19,15,8372
222,4,4,3,48,1,85,0,18,3,7,10,8,35,4995
223,5,2,1,104,4,555,1,9,5,10,0,19,15,14323
224,4,2,1,116,4,1375,2,9,6,5,30,4,25,13014
225,1,2,1,105,4,1730,2,6,6,14,25,19,15,13591
226,4,2,1,113,4,2245,2,3,3,5,25,18,50,18799
227,3,0,2,18,4,170,0,27,4,23,30,2,20,3943
228,7,4,3,48,3,90,0,21,5,5,45,7,15,1965
229,4,4,3,48,1,90,0,27,5,10,20,11,50,4995
230,1,3,0,66,4,1540,1,24,3,16,50,18,30,14641
231,1,3,0,64,4,155,0,12,4,20,45,23,20,4460
232,1,2,1,104,4,375,1,18,5,13,0,19,15,10191
233,4,2,1,104,1,1050,1,9,3,2,15,19,45,13843
234,3,2,1,119,4,345,1,1,5,21,50,3,35,6349
235,0,3,0,64,4,155,0,1,5,10,20,12,55,4409
236,4,2,1,104,4,1530,1,6,3,18,15,19,45,17024
237,5,2,1,104,4,835,1,18,5,7,5,21,0,13727
238,3,0,5,18,4,175,0,15,3,18,25,21,20,8855
239,5,2,1,104,4,615,1,24,6,8,45,19,0,12524
240,4,0,5,5,4,520,1,18,3,11,40,20,20,13555
241,4,3,0,66,1,330,1,6,6,6,30,12,0,10844
242,5,2,1,104,4,720,1,9,6,9,0,21,0,13587
243,7,1,4,127,3,135,0,12,6,9,45,12,0,3543
244,8,1,4,127,4,135,0,18,3,7,5,9,20,4842
245,3,0,2,18,4,170,0,24,4,23,30,2,20,3943
246,4,2,1,104,1,550,1,9,6,19,15,4,25,10577
247,3,2,1,104,4,625,1,15,5,10,35,21,0,6979
248,8,1,4,127,4,140,0,27,6,17,45,20,5,11982
249,7,2,1,123,4,270,1,6,6,8,45,13,15,5264
250,8,2,1,106,4,190,0,3,3,6,0,9,10,8001
251,1,2,1,97,4,1410,2,1,6,19,45,19,15,10651
252,4,3,0,66,1,1640,1,24,5,16,30,19,50,10844
253,5,2,1,111,4,755,1,27,3,9,45,22,20,6601
254,1,2,1,104,4,1455,1,21,3,19,0,19,15,6587
255,7,4,3,48,4,80,0,21,3,13,10,14,30,3173
256,1,0,2,18,4,165,0,9,5,10,0,12,45,5228
257,4,0,2,18,1,180,0,21,6,7,10,10,10,5769
258,4,2,1,104,4,660,1,6,6,8,0,19,0,14714
259,4,2,1,116,4,810,2,3,6,5,30,19,0,13014
260,3,0,2,18,4,170,0,3,6,22,10,1,0,3359
261,2,0,5,18,4,175,0,3,3,20,55,23,50,6722
262,3,3,0,64,4,165,0,18,3,9,35,12,20,4462
263,3,2,1,111,4,675,1,9,3,4,55,16,10,6171
264,1,3,0,85,4,875,2,21,5,5,50,20,25,12303
265,5,2,1,104,4,835,1,21,3,11,40,1,35,7695
266,3,2,1,104,4,845,1,24,6,11,25,1,30,5684
267,1,3,0,66,4,905,1,12,6,16,50,7,55,8366
268,1,1,4,127,4,135,0,1,3,11,40,13,55,19630
269,4,0,5,5,1,900,1,6,3,14,5,5,5,13502
270,4,3,0,66,4,775,1,1,5,21,10,10,5,14781
271,5,2,1,111,4,540,1,12,6,7,10,16,10,6513
272,1,2,1,104,4,735,1,1,6,7,0,19,15,9929
273,5,2,1,115,4,460,2,6,6,17,50,1,30,18275
274,1,2,1,121,4,1640,1,9,4,6,5,9,25,4487
275,3,4,3,48,4,85,0,15,3,21,20,22,45,2754
276,1,4,3,48,4,80,0,27,3,6,20,7,40,2575
277,7,3,0,82,4,330,1,12,6,15,55,21,25,8224
278,1,2,1,103,4,705,1,9,3,20,30,8,15,8991
279,3,2,1,106,4,195,0,24,6,5,35,8,50,5000
280,4,3,0,66,1,1495,1,12,6,18,55,19,50,8529
281,1,2,1,121,4,1640,1,3,3,6,5,9,25,14042
282,4,0,2,18,1,175,0,24,5,11,10,14,5,4030
283,4,3,0,66,1,1025,1,6,6,18,55,12,0,10844
284,3,3,0,64,4,160,0,6,5,21,25,0,5,4804
285,5,2,1,104,1,480,1,27,5,17,30,1,30,7308
286,3,0,2,18,4,180,0,12,5,16,55,19,55,4823
287,4,2,1,104,1,1655,1,24,6,9,0,12,35,10262
288,4,2,1,104,1,450,1,27,5,20,55,4,25,12898
289,1,0,5,9,4,1375,2,12,3,17,25,16,20,12778
290,3,2,1,104,4,515,1,3,3,4,45,13,20,14871
291,1,2,1,126,4,1795,2,21,3,13,20,19,15,8708
292,4,3,0,66,1,1335,1,6,6,20,0,18,15,10844
293,7,4,3,48,4,80,0,6,3,5,45,7,5,4129
294,3,3,0,64,4,160,0,18,5,21,25,0,5,4804
295,4,0,2,18,4,180,0,6,5,8,20,11,20,7229
296,4,0,5,5,1,730,1,21,3,7,0,19,10,7832
297,7,1,4,127,4,155,0,18,3,9,30,12,5,3859
298,5,2,1,104,4,705,1,6,6,7,30,19,15,9001
299,8,0,2,18,4,155,0,9,5,17,0,19,35,4878
300,3,4,3,48,4,90,0,3,5,2,35,4,5,2754
301,8,0,2,18,4,160,0,27,6,7,0,9,40,4668
302,0,3,0,64,4,155,0,12,5,10,20,12,55,5216
303,4,2,1,116,1,1375,2,6,6,5,30,4,25,10368
304,3,2,1,112,4,880,2,9,3,6,40,21,20,8146
305,4,2,1,104,4,925,1,27,3,13,0,4,25,12242
306,4,0,5,5,1,435,1,15,3,8,0,15,15,9134
307,1,2,1,112,4,1210,2,6,6,13,15,9,25,10939
308,1,2,1,108,4,1245,2,6,6,10,55,7,40,11753
309,7,3,0,64,4,150,0,24,4,17,10,19,40,4174
310,4,3,0,66,1,1430,1,21,5,20,0,19,50,10844
311,4,2,1,104,4,1620,1,3,6,16,0,19,0,14714
312,4,3,0,66,1,330,1,12,6,6,30,12,0,9899
313,3,2,1,104,4,710,1,3,3,9,10,21,0,14871
314,3,1,4,127,4,135,0,6,3,13,20,15,35,7295
315,1,2,1,116,4,1470,2,6,6,18,45,19,15,13465
316,7,1,4,127,3,140,0,21,5,17,45,20,5,3543
317,5,2,1,104,4,390,1,27,6,19,0,1,30,7198
318,4,2,1,104,1,1225,1,1,6,8,0,4,25,10262
319,3,3,0,64,4,155,0,15,3,15,20,17,55,4148
320,4,0,2,18,4,175,0,27,6,15,15,18,10,8016
321,4,2,1,104,1,335,1,9,6,22,50,4,25,10262
322,7,3,0,64,3,150,0,15,6,14,55,17,25,3841
323,4,0,5,28,4,885,1,12,3,9,45,0,30,11507
324,4,3,0,66,4,740,1,1,5,8,25,20,45,14781
325,4,2,1,104,4,1530,1,27,5,17,30,19,0,16079
326,4,2,1,104,1,335,1,27,5,22,50,4,25,12898
327,5,2,1,104,4,705,1,6,3,7,30,19,15,15353
328,3,0,5,18,4,175,0,24,3,18,25,21,20,7303
329,7,3,0,90,4,340,1,24,3,15,5,20,45,6197
330,1,3,0,60,4,245,1,9,6,9,10,13,15,8996
331,3,2,1,111,4,480,1,21,3,14,20,22,20,6528
332,2,0,2,18,4,165,0,9,4,20,55,23,40,4239
333,3,3,0,64,4,160,0,12,3,20,25,23,5,4148
334,7,0,2,18,4,175,0,24,5,21,10,0,5,3971
335,0,3,0,73,4,955,1,6,5,7,35,23,30,5192
336,4,2,1,97,4,1390,2,9,4,13,25,12,35,9483
337,4,2,1,117,4,440,2,3,6,11,40,19,0,18804
338,1,2,1,106,4,170,0,18,6,5,10,8,0,5201
339,4,2,1,104,4,450,1,27,5,11,30,19,0,16079
340,4,0,2,18,1,180,0,15,6,19,50,22,50,7229
341,5,2,1,104,4,465,1,27,5,17,45,1,30,6795
342,4,3,0,73,4,1520,1,9,5,9,35,10,55,10953
343,5,2,1,113,4,625,2,24,6,15,5,1,30,15965
344,1,2,1,117,4,1820,2,9,4,12,55,19,15,9968
345,3,3,0,64,4,155,0,6,6,22,15,0,50,4804
346,4,2,1,104,4,540,1,27,5,10,0,19,0,16079
347,4,2,1,113,1,910,2,12,6,21,25,12,35,11507
348,1,3,0,67,4,1700,2,9,6,9,25,13,45,11542
349,4,0,2,18,4,180,0,24,4,17,45,20,45,7229
350,4,0,2,18,1,165,0,27,4,6,0,8,45,4544
351,3,2,1,103,4,295,1,15,5,5,10,10,5,6496
352,3,3,0,64,4,160,0,15,6,21,25,0,5,4804
353,1,0,5,15,4,1330,1,1,3,11,5,9,15,13439
354,4,2,1,104,1,610,1,27,3,18,15,4,25,6540
355,3,0,2,18,4,170,0,1,6,23,30,2,20,4591
356,3,0,5,24,4,260,1,18,3,16,15,20,35,4437
357,0,2,1,103,4,660,1,21,3,20,10,7,10,6151
358,4,0,2,18,1,180,0,21,6,17,45,20,45,7754
359,4,2,1,104,1,1355,1,24,6,14,0,12,35,10262
360,4,0,2,18,4,185,0,9,6,18,55,22,0,8016
361,7,3,0,64,3,160,0,24,3,6,55,9,35,4781
362,8,0,2,18,4,170,0,27,6,11,30,14,20,4668
363,1,0,5,28,4,1265,1,6,3,11,50,8,55,14594
364,4,3,0,66,4,710,1,24,3,16,55,4,45,14231
365,1,2,1,125,4,1535,1,15,5,5,15,6,50,8425
366,5,2,1,111,4,925,1,12,6,7,5,22,30,9646
367,3,1,4,127,4,145,0,3,3,14,40,17,5,7295
368,0,3,0,60,4,220,1,9,4,6,50,10,30,5162
369,3,0,5,18,4,175,0,9,3,18,25,21,20,6860
370,8,2,1,106,4,190,0,15,4,6,0,9,10,6216
371,0,3,0,73,4,710,1,24,5,7,35,19,25,5192
372,3,0,2,18,4,170,0,9,4,20,0,22,50,4823
373,7,0,2,18,3,170,0,3,4,9,30,12,20,3919
374,3,4,3,48,4,90,0,3,6,19,5,20,35,2754
375,5,2,1,104,4,690,1,9,5,7,30,19,0,9315
376,5,2,1,104,4,530,1,27,3,10,0,18,50,11667
377,4,3,0,66,1,1215,1,12,6,8,25,4,40,6224
378,1,3,0,68,4,1210,2,24,3,9,25,5,35,13349
379,4,0,5,5,1,965,1,18,3,16,55,9,0,11087
380,5,2,1,104,4,755,1,6,3,13,0,1,35,15603
381,4,2,1,116,4,1025,2,9,5,19,30,12,35,15129
382,3,0,2,18,4,180,0,9,4,16,55,19,55,4823
383,8,3,0,73,4,930,1,1,5,7,10,22,40,8452
384,5,2,1,104,4,690,1,6,6,7,30,19,0,12524
385,7,1,4,127,4,140,0,27,3,17,45,20,5,3384
386,4,2,1,104,1,1425,1,1,6,19,15,19,0,10262
387,7,4,3,48,3,90,0,18,6,13,15,14,45,1965
388,3,3,0,64,4,155,0,18,5,22,15,0,50,4804
389,4,2,1,104,4,1485,1,27,5,18,15,19,0,16079
390,4,2,1,113,4,1295,2,1,6,21,25,19,0,13292
391,0,2,1,103,4,330,1,9,5,7,55,13,25,6751
392,1,2,1,104,4,735,1,15,5,7,0,19,15,8669
393,3,2,1,104,4,485,1,3,3,17,30,1,35,14871
394,4,2,1,104,1,300,1,21,5,14,0,19,0,12898
395,7,0,2,18,3,170,0,6,6,9,30,12,20,3919
396,5,2,1,104,4,385,1,1,3,12,50,19,15,36983
397,3,1,4,127,4,140,0,3,6,19,35,21,55,3597
398,1,0,5,18,4,165,0,9,3,17,0,19,45,10741
399,1,3,0,68,4,765,2,6,6,16,50,5,35,11432
400,4,0,5,5,1,950,1,12,3,18,55,10,45,11087
401,4,2,1,113,4,1620,2,3,6,9,35,12,35,13292
402,1,2,1,124,4,1585,3,15,6,5,15,7,40,10493
403,2,0,5,18,4,175,0,9,3,7,45,10,40,7631
404,1,2,1,105,4,1490,2,6,6,6,50,7,40,13381
405,4,3,0,66,4,520,1,6,6,20,0,4,40,13731
406,1,2,1,102,4,1545,2,21,5,5,55,7,40,11911
407,3,0,2,18,4,170,0,18,4,23,30,2,20,4591
408,5,2,1,104,4,375,1,3,6,13,0,19,15,14848
409,5,2,1,104,4,630,1,12,6,8,45,19,15,8266
410,1,2,1,110,4,1560,2,18,5,17,15,19,15,12392
411,4,3,0,66,4,1025,1,12,6,18,55,12,0,13044
412,4,2,1,104,1,1280,1,21,5,7,5,4,25,12898
413,4,2,1,104,4,335,1,21,3,22,50,4,25,12242
414,3,0,2,18,4,170,0,18,5,10,10,13,0,3943
415,8,3,0,73,4,1550,1,24,3,20,20,22,10,11105
416,4,3,0,66,4,730,1,12,5,21,10,9,20,14388
417,4,2,1,116,4,1025,2,18,5,19,30,12,35,13014
418,5,2,1,104,4,510,1,6,3,10,20,18,50,15411
419,4,2,1,104,4,1385,1,9,3,19,45,18,50,16289
420,3,2,1,111,4,560,1,15,5,6,50,16,10,6442
421,4,3,0,66,1,475,1,18,5,8,25,16,20,10844
422,4,4,3,48,4,90,0,18,5,10,20,11,50,5678
423,3,0,2,18,4,170,0,12,4,23,30,2,20,6906
424,7,1,4,127,3,135,0,21,5,9,45,12,0,3543
425,4,2,1,104,4,600,1,6,6,9,0,19,0,14714
426,6,0,5,18,4,155,0,3,3,16,0,18,35,11793
427,5,2,1,104,4,465,1,15,5,11,30,19,15,14323
428,7,0,2,18,4,175,0,9,4,21,10,0,5,3971
429,8,3,0,73,4,1580,1,6,5,20,20,22,40,8452
430,8,0,2,18,4,160,0,12,4,7,0,9,40,5403
431,5,2,1,104,4,660,1,9,5,10,0,21,0,13727
432,1,3,0,72,4,1165,2,1,4,10,0,5,25,12639
433,4,0,2,18,1,175,0,18,4,15,15,18,10,5198
434,8,0,2,18,4,165,0,1,6,19,30,22,15,4878
435,4,2,1,104,1,1395,1,18,5,19,45,19,0,12373
436,5,2,1,111,1,540,1,3,3,7,10,16,10,8552
437,8,2,1,106,4,190,0,21,4,14,40,17,50,6741
438,5,2,1,104,4,385,1,9,4,12,50,19,15,6481
439,5,2,1,104,4,520,1,6,6,10,35,19,15,7354
